title,description,url,folder,tags,created,cover,highlights
Snagit Einfache Bildschirmaufnahme und Videoaufzeichnung,Holen Sie sich die führende Software zum Erstellen von Bildschirmaufnahmen und -videos für Windows und Mac. Snagit ist leicht bedienbar und bietet leistungsstarke Funktionen zum Erstellen und Bearbeiten von Screenshots und Bildschirmvideos. Jetzt kostenlos herunterladen!,https://www.techsmith.de/snagit.html,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",,
Shutter - Feature-rich Screenshot Tool (Linux),Shutter - Screenshot Tool website,https://shutter-project.org,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",,
ShareX,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",https://getsharex.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://getsharex.com/img/ShareX_Card_Large.png,
Screenrec.com,"From task assignment to bug reporting and internal training, ScreenRec is trusted by 250,000+ users to reduce the need for meetings, cut down on emails and communicate more effectively across locations and time zones.",https://screenrec.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://screenrec.com/assets_dist/screenrec/media/what-is-screenrec.png,
Screen Recorder Download,Official download page for Ezvid: the FREE video editor and screen capture software for Windows.,https://www.ezvid.com/download,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",,
Piktochart,"Create and collaborate on infographics, posters, flyers, presentations, and other visuals with absolutely no design experience. Try Piktochart for free!",https://piktochart.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",,
Miro Mind map software,"Create a free mind map quickly and easily. Organize ideas, thoughts and concepts to see connections and turn insight into action.",https://miro.com/mind-map-software,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://images.ctfassets.net/w6r2i5d8q73s/1jmlqMb3sNYMjiHtBjxOQn/b121378c34aa71391043eae1e9733ac9/Open_graph_Mind_map.png,
MindMup: Zero-Friction Free Mind Mapping Software Online,Free online mind mapping. The most productive online mind map canvas on the Web. Supports Freemind mindmap import/export. Easy mindmapping software.,https://www.mindmup.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://www.mindmup.com/assets/promo-440x280.png,
MindMup Blog,Free online mind mapping. The most productive online mind map canvas on the Web. Supports Freemind mindmap import/export. Easy mindmapping software.,https://blog.mindmup.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://www.mindmup.com/assets/promo-440x280.png,
Mindmap Manger - Mindjet,"The MindManager product line up delivers visualization tools to organize data, track projects, and present information.",https://www.mindjet.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://www.mindmanager.com/static/mm/images/social-og/mm-2022-OG-gen.png,
